,VaR_MC_GARCH_T_COPULA,actual_loss,exception
2022-10-12,39971.06565833235,602.7355924268104,0
2022-10-13,35896.84085224101,-17989.822222107327,0
2022-10-14,45710.38888188362,30521.282138110157,0
2022-10-17,42689.26489028717,-24788.651836510013,0
2022-10-18,52312.693773991195,-13957.20099703435,0
2022-10-19,53391.33021569899,12782.4680920485,0
2022-10-20,47486.899367639315,9782.44447841313,0
2022-10-21,42408.00440857155,-35940.93601562565,0
2022-10-24,57047.99277625339,-15974.840494317456,0
2022-10-25,59075.94436046651,-16314.012632005475,0
2022-10-26,63794.938747647844,9772.452527808764,0
2022-10-27,58385.332855837354,10909.650699349157,0
2022-10-28,52763.973265179,-28173.318022410906,0
2022-10-31,67865.71902942941,15091.83505521032,0
2022-11-01,61948.84886049376,4841.87393291719,0
2022-11-02,56556.32402505396,45773.38448238033,0
2022-11-03,55881.47101174746,20415.420030662164,0
2022-11-04,46766.18440042266,-74863.19544614707,0
2022-11-07,63251.20314796059,-12604.52313444226,0
2022-11-08,41217.78789207268,-23308.285893359294,0
2022-11-09,43290.63702491409,25703.67323852088,0
2022-11-10,42351.93487019028,-69492.90856404204,0
2022-11-11,85276.3307103509,-20352.664698859648,0
2022-11-14,85605.11591021612,3943.7024619876247,0
2022-11-15,70835.77131066214,-12713.625243660816,0
2022-11-16,71242.12255027908,21149.72841223184,0
2022-11-17,61929.319955916675,5503.120557979157,0
2022-11-18,56838.53901232593,-1509.9713589071216,0
2022-11-21,53688.89412632644,11636.49967017226,0
2022-11-22,51068.194676544874,-15721.861044790448,0
2022-11-23,52918.29320263328,-13911.662607803157,0
2022-11-25,51560.382557250516,2808.271651018409,0
2022-11-28,47517.248714277746,32111.880400308663,0
2022-11-29,48986.72321944609,-2475.032176606949,0
2022-11-30,43488.717561770885,-60070.887336640415,0
2022-12-01,77234.22480294769,-7225.777932823257,0
2022-12-02,70259.0374434242,3862.044935079084,0
2022-12-05,64969.85982375357,43150.92137267591,0
2022-12-06,64086.53878945545,28031.93548436865,0
2022-12-07,59010.90171103379,347.01204441352274,0
2022-12-08,52846.03464744392,-16106.846917163384,0
