date,manual_linear,ref_linear,abs_err_linear,manual_irs,ref_irs,abs_err_irs,manual_straddle,ref_straddle,abs_err_straddle,manual_total,ref_total,abs_err_total
2021-06-07,2581.826352602302,2581.826352602302,0.0,988.8063358363288,988.8063358363288,0.0,-731.7634177013606,-731.7634177013606,0.0,2838.86927073727,2838.86927073727,0.0
2021-06-08,-365.8898672509029,-365.8898672509029,0.0,-3961.392659847683,-3961.392659847683,0.0,720.6940759306817,720.6940759306817,0.0,-3606.588451167904,-3606.588451167904,0.0
2021-06-09,-2128.359197568455,-2128.359197568455,0.0,-2981.8623025453708,-2981.8623025453708,0.0,796.0102008338508,796.0102008338508,0.0,-4314.211299279975,-4314.211299279975,0.0
2021-06-10,10824.141417812963,10824.141417812963,0.0,-4990.471436486434,-4990.471436486434,0.0,-3504.689725290067,-3504.689725290067,0.0,2328.9802560364624,2328.9802560364624,0.0
2021-06-11,-8485.640196877568,-8485.640196877568,0.0,1999.3009059355536,1999.3009059355536,0.0,-1151.8640739446928,-1151.8640739446928,0.0,-7638.203364886707,-7638.203364886707,0.0
2021-06-14,-5189.974243176191,-5189.974243176191,0.0,3986.157283872395,3986.157283872395,0.0,1201.253937073663,1201.253937073663,0.0,-2.5630222301324466,-2.5630222301324466,0.0
2021-06-15,-4855.591717363326,-4855.591717363326,0.0,0.0,0.0,0.0,61.26272239424725,61.26272239424725,0.0,-4794.328994969079,-4794.328994969079,0.0
2021-06-16,-23569.34911878978,-23569.34911878978,0.0,5948.268209071539,5948.268209071539,0.0,371.10416912838264,371.10416912838264,0.0,-17249.97674058986,-17249.97674058986,0.0
2021-06-17,-26051.161954266983,-26051.161954266983,0.0,-4954.3145063639095,-4954.3145063639095,0.0,-1524.1157498076063,-1524.1157498076063,0.0,-32529.5922104385,-32529.5922104385,0.0
2021-06-18,-18405.183986464675,-18405.183986464675,0.0,-6979.411892515578,-6979.411892515578,0.0,3683.035687724325,3683.035687724325,0.0,-21701.56019125593,-21701.56019125593,0.0
2021-06-21,22999.867549190352,22999.867549190352,0.0,4990.471436486434,4990.471436486434,0.0,-4962.560955116314,-4962.560955116314,0.0,23027.778030560472,23027.778030560472,0.0
2021-06-22,4484.051560455865,4484.051560455865,0.0,-1993.077443732298,-1993.077443732298,0.0,-1810.01746118335,-1810.01746118335,0.0,680.9566555402171,680.9566555402171,0.0
2021-06-23,-2400.788077224337,-2400.788077224337,0.0,1993.077443732298,1993.077443732298,0.0,-1548.6029552682776,-1548.6029552682776,0.0,-1956.3135887603166,-1956.3135887603166,0.0
2021-06-24,6080.896704840801,6080.896704840801,0.0,-996.0209998690989,-996.0209998690989,0.0,281.2433511638228,281.2433511638228,0.0,5366.119056135525,5366.119056135525,0.0
