refit_idx,date,t,mu,omega,alpha1,beta,alpha_plus_beta,raw_mu,raw_omega,raw_alpha1,raw_beta,raw_alpha_plus_beta,nu,loglikelihood,convergence_flag,optimizer_warning_count,stationarity_fallback_used
54,2018-10-04,3200,0.0004839236594024423,3.6495992950125913e-07,0.050644789560800985,0.9456351990395254,0.9962799886003264,0.0004839236594024423,3.6495992950125913e-07,0.050644789560800985,0.9456351990395254,0.9962799886003264,6.569721739837535,-3623.465951794337,0,0,0
55,2018-12-17,3250,0.00046262239339512213,3.697893882489109e-07,0.04972618097982312,0.9465974659769973,0.9963236469568204,0.00046262239339512213,3.697893882489109e-07,0.04972618097982312,0.9465974659769973,0.9963236469568204,6.543071986741069,-3680.2141388563837,0,0,0
56,2019-03-01,3300,0.00047338559712060946,3.691086871067576e-07,0.04925293316423681,0.9470641811157255,0.9963171142799624,0.00047338559712060946,3.691086871067576e-07,0.04925293316423681,0.9470641811157255,0.9963171142799624,6.552274390193902,-3734.5574760193863,0,0,0
57,2019-05-13,3350,0.00046813759145483436,3.6800425098263305e-07,0.048531971529235884,0.9475691401869218,0.9961011117161578,0.00046813759145483436,3.6800425098263305e-07,0.048531971529235884,0.9475691401869218,0.9961011117161578,6.534110667600081,-3782.3343762077657,0,0,0
58,2019-07-24,3400,0.0004754095857446793,3.677156149691749e-07,0.04803662724512635,0.9481685343281933,0.9962051615733196,0.0004754095857446793,3.677156149691749e-07,0.04803662724512635,0.9481685343281933,0.9962051615733196,6.54075996987671,-3843.399716154266,0,0,0
59,2019-10-03,3450,0.00046894984171927433,3.667388608756047e-07,0.04762086487892886,0.9485448933699541,0.996165758248883,0.00046894984171927433,3.667388608756047e-07,0.04762086487892886,0.9485448933699541,0.996165758248883,6.574338952466918,-3899.468278498383,0,0,0
60,2019-12-13,3500,0.00048781700917211596,3.6214315193099676e-07,0.046921780616587735,0.9491247287946806,0.9960465094112683,0.00048781700917211596,3.6214315193099676e-07,0.046921780616587735,0.9491247287946806,0.9960465094112683,6.519235683490038,-3943.981579809292,0,0,0
61,2020-02-27,3550,0.0005079458051740912,3.693340487627516e-07,0.04689102410619495,0.9493429276042419,0.9962339517104368,0.0005079458051740912,3.693340487627516e-07,0.04689102410619495,0.9493429276042419,0.9962339517104368,6.41211530364828,-4002.6249436686376,0,0,0
62,2020-05-08,3600,0.0005066284622212837,4.239026798637768e-07,0.057115348652562424,0.9401693336822405,0.9972846823348029,0.0005066284622212837,4.239026798637768e-07,0.057115348652562424,0.9401693336822405,0.9972846823348029,6.323008367210589,-4136.902932533172,0,0,0
63,2020-07-21,3650,0.0005182347670226382,5.185828079900024e-07,0.05857938939107535,0.9370381206033307,0.995617509994406,0.0005182347670226382,5.185828079900024e-07,0.05857938939107535,0.9370381206033307,0.995617509994406,6.116774819186271,-4230.569459514659,0,0,0
64,2020-09-30,3700,0.0005239065261922447,4.568208904877827e-07,0.057019736013769244,0.9398081228389642,0.9968278588527334,0.0005239065261922447,4.568208904877827e-07,0.057019736013769244,0.9398081228389642,0.9968278588527334,6.108790681970127,-4338.055445231514,0,0,0
65,2020-12-10,3750,0.0005262837182089419,4.338688592856201e-07,0.05586227750106225,0.9412705184125295,0.9971327959135917,0.0005262837182089419,4.338688592856201e-07,0.05586227750106225,0.9412705184125295,0.9971327959135917,6.115223349835082,-4437.571054280325,0,0,0
66,2021-02-24,3800,0.0005285122622528818,4.715916305600167e-07,0.05618928620777449,0.9400764652192084,0.9962657514269829,0.0005285122622528818,4.715916305600167e-07,0.05618928620777449,0.9400764652192084,0.9962657514269829,6.095696077982721,-4514.252680336234,0,0,0
67,2021-05-06,3850,0.0005323415229839533,4.525402539061857e-07,0.055114806157375136,0.9415697067885507,0.9966845129459259,0.0005323415229839533,4.525402539061857e-07,0.055114806157375136,0.9415697067885507,0.9966845129459259,6.018940460973461,-4607.9663351881145,0,0,0
