,VaR,VaR_nodrift,ES,ES_nodrift,actual_loss,exception,mu_deltaV,sigma_deltaV
2021-07-26,11634.782563149978,12037.695650731097,13388.247721397762,13791.16080897888,-377.7455570392449,0,402.9130875811188,5174.503686682831
2021-07-27,11611.472118264703,12024.266477724917,13362.981122473237,13775.775481933451,3865.836874394673,0,412.79435946021414,5168.7310448711605
2021-07-28,11610.759958991173,12016.431691621729,13361.127712843092,13766.799445473645,-2495.2295152821134,0,405.6717326305543,5165.363196841803
2021-07-29,11600.792152857934,12014.181926617694,13350.83219577054,13764.2219695303,-13933.214994240583,0,413.3897737597599,5164.396116626011
2021-07-30,11593.958378941534,12017.083340457091,13344.421054908227,13767.546016423785,14882.283013044016,1,423.12496151555706,5165.643313518519
2021-08-02,11583.632334571052,11985.86292401318,13329.547303563853,13731.777893005983,5021.295055145104,0,402.2305894421288,5152.22295760688
2021-08-03,11587.317391699278,11982.780936763143,13332.783424498819,13728.246969562684,-7201.001200123172,0,395.46354506386484,5150.898139730574
2021-08-04,11581.971253653133,11969.426948460452,13325.492084157167,13712.947778964486,8253.052124228698,0,387.45569480731797,5145.157816689594
2021-08-05,11573.256878957016,11964.621019959815,13316.0776561931,13707.4417971959,-6019.766431639629,0,391.3641410028,5143.091948315279
2021-08-06,11578.469729118242,11965.02624638845,13321.349533467523,13707.90605073773,14415.439853281874,1,386.5565172702079,5143.26613826905
2021-08-09,11623.434726533993,11991.762804281909,13370.209098753894,13738.53717650181,15927.603033470325,1,368.3280777479152,5154.759070255623
2021-08-10,11638.892442669356,12003.25653510188,13387.341043671564,13751.705136104089,-3393.514953366199,0,364.3640924325243,5159.699746131414
2021-08-11,11642.523745619237,11999.958089119436,13390.491880070836,13747.926223571036,-12439.810913937834,0,357.4343435001995,5158.28188166701
2021-08-12,11641.903226511675,12005.877763250852,13390.733647453877,13754.708184193054,-5016.598761635145,0,363.9745367391765,5160.826502872407
2021-08-13,11635.278860139537,12004.314049915474,13383.881503529405,13752.916693305342,-9327.851905921558,0,369.0351897759378,5160.154327677619
2021-08-16,11637.339656990138,12015.26079592764,13387.536852882864,13765.457991820365,-7367.604034600197,0,377.9211389375006,5164.859877580245
2021-08-17,11636.522375447177,12019.89358983388,13387.394405040277,13770.76561942698,13009.883382641872,1,383.37121438670283,5166.851322607851
2021-08-18,11640.762076196515,12022.0630525393,13391.950119533145,13773.25109587593,15937.413198916647,1,381.300976342785,5167.783884212085
2021-08-19,11658.098463433727,12031.306501062889,13410.632949262212,13783.840986891373,3402.5518524938107,0,373.2080376291616,5171.757257509661
2021-08-20,11660.218133548742,12025.822103981689,13411.953737309188,13777.557707742135,-11223.646280342264,0,365.603970432947,5169.399743767886
