,VaR_MC_GARCH_COPULA,actual_loss,exception
2013-05-06,20908.307342664746,-3872.4121108166114,0
2013-05-07,21337.775335469356,5583.524617808247,0
2013-05-08,20843.50735978809,-11655.548038569545,0
2013-05-09,20558.167962265088,7534.504009487737,0
2013-05-10,20582.588753230928,620.343369495833,0
2013-05-13,19701.352554307494,5460.420084305752,0
2013-05-14,19453.02518374438,-5589.835859497504,0
2013-05-15,20022.98190202844,13699.181349425678,0
2013-05-16,19568.9972330425,11313.342619222616,0
2013-05-17,19607.375357205714,3002.5766440689767,0
2013-05-20,20264.79971995903,-19623.40016911803,0
2013-05-21,20371.422117445072,10296.852268117127,0
2013-05-22,19704.022643999513,3248.3036587537754,0
2013-05-23,17920.33200136763,-8597.39028015282,0
2013-05-24,18687.32330360479,3697.4177560646176,0
2013-05-28,13879.702796813908,-10688.302022703763,0
2013-05-29,14320.115749168594,-134.63555958653797,0
2013-05-30,14997.55642095898,-13142.47179591572,0
2013-05-31,14481.894103941328,18223.00376915767,1
2013-06-03,14246.325307542746,-12124.041561257576,0
2013-06-04,13575.013692149814,7635.36250876972,0
2013-06-05,12718.675586675023,8768.073074253532,0
2013-06-06,12743.019855774714,-8731.548993714823,0
2013-06-07,13086.48158229099,-1080.9832821073103,0
2013-06-10,13238.17385057001,-6983.813746871408,0
2013-06-11,12727.423471736036,6992.005766552778,0
2013-06-12,12288.115753672408,-5553.177848088932,0
2013-06-13,12662.912051607198,-1051.6159451219046,0
2013-06-14,12491.560362464617,2275.127661184081,0
2013-06-17,12327.974656818205,-2549.2288882305265,0
2013-06-18,12953.033046902217,3921.505067180622,0
2013-06-19,11284.477784804569,5819.43574140979,0
2013-06-20,11080.071323099584,35196.51388483823,1
2013-06-21,12174.482011816732,-11181.334061335288,0
2013-06-24,12476.368008369132,7297.626140346862,0
2013-06-25,12471.52798836004,-1955.229082412768,0
2013-06-26,11878.622311303461,26615.983472674317,1
2013-06-27,14641.609676201917,14368.770925583283,0
2013-06-28,15107.616837690144,-16183.873451341116,0
2013-07-01,14970.2100760471,-8633.204146108596,0
2013-07-02,15496.890358276363,6114.065306792175,0
2013-07-03,14977.633976064983,-3988.175203822992,0
2013-07-05,14714.968568666178,10.38522778621973,0
2013-07-08,14571.477004657807,-2035.2578962763791,0
2013-07-09,14737.273414554984,-9254.224269531189,0
2013-07-10,15384.66029504237,-2539.109884638236,0
2013-07-11,15551.876003790878,-25413.25037211828,0
2013-07-12,15984.587237831636,1850.977866580391,0
2013-07-15,16005.513149903943,889.2538028420445,0
2013-07-16,15466.373389852251,620.7108128590685,0
2013-07-17,15380.886532487932,5204.916199313519,0
2013-07-18,15093.683807845076,-7592.122742771022,0
2013-07-19,15613.859340928659,-2900.546083181707,0
2013-07-22,15021.87911507005,-19802.33306756738,0
2013-07-23,15634.992460137055,-6633.473303954766,0
2013-07-24,15023.092366305045,6566.8850384905545,0
2013-07-25,15179.771729032556,-6143.911337036258,0
2013-07-26,14729.776036664123,-11.559842229697551,0
2013-07-29,13720.05879121612,252.3717155739064,0
2013-07-30,13765.546134868904,663.0019769254668,0
2013-07-31,13810.207247257413,2985.8851746704045,0
2013-08-01,13893.580277294763,-7690.618364647008,0
2013-08-02,16648.610132119054,9407.77319087694,0
2013-08-05,16999.44053018724,350.57730826037096,0
2013-08-06,15601.357616108715,10685.610922755368,0
2013-08-07,16219.732279897686,3392.808835711003,0
2013-08-08,16435.568393402307,-12526.59412714505,0
2013-08-09,15887.339528607488,856.4142765752047,0
2013-08-12,15383.393311998056,-11594.951188186536,0
2013-08-13,16338.925362955039,1466.5182339231387,0
2013-08-14,15604.813948349867,-3771.380344806272,0
2013-08-15,14025.430885471611,-11550.001094371655,0
2013-08-16,13401.948705352144,-9335.300250342323,0
2013-08-19,13933.463104244804,2936.597804977355,0
2013-08-20,13080.579788961864,57.952837951324,0
2013-08-21,12810.995385759537,-578.3286141538183,0
2013-08-22,12364.582540610629,-5829.341788112827,0
2013-08-23,12700.641253991125,-5674.331832092632,0
2013-08-26,12026.322330611805,-462.2604413122417,0
2013-08-27,11970.360994414328,935.260752926646,0
