,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2016-06-13,703.6625812835991,-703.6625812835991,16038.641967212083,18499.78586771018,5,2016-06-10,1661378.9592563089,0.8178876853901675,0
2016-06-14,-166.47759750648402,166.47759750648402,15528.093356954632,18197.60643643392,5,2016-06-13,1662082.6218375925,0.8286719736865235,0
2016-06-15,746.2258161988575,-746.2258161988575,15441.361650911393,18161.2655934907,5,2016-06-14,1661916.144240086,0.8245643272569497,0
2016-06-16,-7157.120082904585,7157.120082904585,15405.023739394266,18217.500768770744,5,2016-06-15,1662662.3700562848,0.8239817071688619,0
2016-06-17,8471.08222088241,-8471.08222088241,15610.088183490327,18356.018960573107,5,2016-06-16,1655505.2499733802,0.8254024301401287,0
2016-06-20,3325.6824291679077,-3325.6824291679077,15176.71452469984,17949.38758510677,5,2016-06-17,1663976.3321942626,0.8173019071326849,0
2016-06-21,-7731.187532322481,7731.187532322481,15581.502299869899,18198.268581995508,5,2016-06-20,1667302.0146234306,0.8260579760446144,0
2016-06-22,-1647.9219747213647,1647.9219747213647,15957.711202310631,18547.448942543426,5,2016-06-21,1659570.827091108,0.833747729180686,0
2016-06-23,4418.777385478374,-4418.777385478374,15449.515376749448,18019.02317942907,5,2016-06-22,1657922.9051163867,0.8205690465403116,0
2016-06-24,5034.26023665606,-5034.26023665606,16691.552629461978,18488.29513576366,5,2016-06-23,1662341.682501865,0.8372324430502164,0
2016-06-27,-17128.695478309877,17128.695478309877,17666.207529652398,20831.200221516054,5,2016-06-24,1667375.9427385211,0.972465661679562,0
2016-06-28,-4182.555397605989,4182.555397605989,17761.485283100745,20973.701808252743,5,2016-06-27,1650247.2472602113,1.0184529050953222,0
2016-06-29,10448.517293272773,-10448.517293272773,17921.028810633812,21184.319631981525,5,2016-06-28,1646064.6918626053,1.0363891485246184,0
2016-06-30,9499.123929506168,-9499.123929506168,18492.559952173382,21732.699074729997,5,2016-06-29,1656513.209155878,1.0408565079494079,0
2016-07-01,7122.248887727503,-7122.248887727503,20237.226374759106,22775.768012922024,5,2016-06-30,1666012.3330853842,1.039815813344013,0
2016-07-05,-4551.436468886444,4551.436468886444,20646.996165884426,23217.89776358865,5,2016-07-01,1673134.5819731117,1.0298030582423545,0
2016-07-06,5224.028514446458,-5224.028514446458,19813.913624468725,22945.68720654496,5,2016-07-05,1668583.1455042253,1.0375429027183387,0
2016-07-07,-1184.6361434820574,1184.6361434820574,20791.513565199682,23527.557490431143,5,2016-07-06,1673807.1740186717,1.0365290222382726,0
2016-07-08,9525.549160544295,-9525.549160544295,20512.00491327676,23407.70610319008,5,2016-07-07,1672622.5378751897,1.029195640193938,0
2016-07-11,-110.82539806212299,110.82539806212299,24408.00758049055,26377.767819728004,5,2016-07-08,1682148.087035734,1.0307816698570467,0
2016-07-12,3512.6765711086337,-3512.6765711086337,25586.614608309465,27325.963801849633,5,2016-07-11,1682037.2616376719,1.030348225891332,0
2016-07-13,1627.9451645247173,-1627.9451645247173,28030.996608485468,30525.963381165173,5,2016-07-12,1685549.9382087805,1.0440408781275037,0
2016-07-14,5215.340739595937,-5215.340739595937,17566.16337232059,19881.891694892198,5,2016-07-13,1687177.8833733052,1.0442778957494694,0
2016-07-15,2003.4539261965547,-2003.4539261965547,20517.89995933813,22621.65497236657,5,2016-07-14,1692393.2241129011,1.0460379833595588,0
2016-07-18,-240.7027148110792,240.7027148110792,20415.18586323876,22488.589787360652,5,2016-07-15,1694396.6780390977,1.0439649611536261,0
2016-07-19,-1792.854353625793,1792.854353625793,20648.37971495604,22664.91847139746,5,2016-07-18,1694155.9753242866,1.0409507992678864,0
2016-07-20,-5794.123990570661,5794.123990570661,20439.615189037286,22483.45378205264,5,2016-07-19,1692363.1209706608,1.0380202706438693,0
