,VaR_MC_GARCH_COPULA_V3,actual_loss,exception
2022-01-04,47064.2310626184,-5822.011485635114,0
2022-01-05,42405.003131941216,-1092.1243138180398,0
2022-01-06,63263.613252751114,10736.711332138431,0
2022-01-07,56997.82938508074,3352.4898266567698,0
2022-01-10,53804.149591880196,-4524.650810307653,0
2022-01-11,48092.8879212761,-15981.307849205245,0
2022-01-12,51676.006552579856,-3118.6697669888035,0
2022-01-13,48135.0074157309,16339.864215899755,0
2022-01-14,56199.63969193265,467.4337726901485,0
2022-01-18,51573.25651402649,9805.45906636965,0
2022-01-19,68479.8828858456,734.971746269488,0
2022-01-20,66314.17497000535,8422.840516023827,0
2022-01-21,71514.83008242109,19516.57451161938,0
2022-01-24,76579.68365047054,-8023.023107034407,0
2022-01-25,72923.08804219136,3688.551293004321,0
2022-01-26,77367.7822119493,12161.954804151654,0
2022-01-27,79082.52713353942,18809.52422240336,0
2022-01-28,67187.65207287736,-5753.750289577361,0
2022-01-31,75907.01140190785,-14577.249876400918,0
2022-02-01,74942.29816579199,-4317.9579409340895,0
2022-02-02,68328.91549531977,-9253.89242473564,0
2022-02-03,69908.15144226581,16120.472433551253,0
2022-02-04,76197.80129352355,-11864.812583075902,0
2022-02-07,68245.68350315707,-2231.4845510197206,0
2022-02-08,58959.41149189521,-7524.68401290154,0
2022-02-09,59038.6675360512,-8904.894044772722,0
2022-02-10,59148.411856857354,9714.168703207277,0
2022-02-11,72382.41346062283,-430.6204612609581,0
2022-02-14,72264.72447184376,-3947.671957637647,0
2022-02-15,66716.07796795342,-1842.9942771379065,0
2022-02-16,64604.55067052789,-8812.293265641894,0
2022-02-17,58884.33273682203,-5490.916238834532,0
2022-02-18,30733.358375613625,13622.265091307752,0
2022-02-22,33723.705832828615,7539.577537559015,0
2022-02-23,39191.48379418053,8601.408194302301,0
2022-02-24,42195.11731863081,-5041.516283008528,0
2022-02-25,41220.75687246372,-13943.86902441553,0
2022-02-28,44408.093642140186,-1531.9283492705872,0
2022-03-01,44752.14237174881,2594.9387330327627,0
2022-03-02,43996.76095147081,-10202.153534282092,0
2022-03-03,43131.65429708888,1192.4082173030963,0
2022-03-04,42024.3207105321,2116.6417691573133,0
2022-03-07,43739.79721275323,13604.135659856487,0
2022-03-08,55266.50673226789,-17953.457347192467,0
2022-03-09,52664.811889583616,2633.9984775975354,0
2022-03-10,55573.68643891751,1622.419503027305,0
2022-03-11,51449.601412200056,17874.438694940665,0
2022-03-14,54508.29524097532,13979.453579688678,0
2022-03-15,55986.48592696688,383.5987391555136,0
2022-03-16,52965.72283766319,-25898.60001442834,0
2022-03-17,56273.162648038306,-17783.40013377111,0
2022-03-18,49405.91575110625,-1568.2432726907518,0
2022-03-21,50256.32671725426,-13280.215955631076,0
2022-03-22,45268.44770070087,-12941.929925994827,0
2022-03-23,45019.69261460362,12430.435574241685,0
2022-03-24,43715.19720809101,-26926.38161393263,0
2022-03-25,42609.796021207316,-12010.85050608306,0
2022-03-28,42466.27306344156,3807.421321877171,0
2022-03-29,44033.9991248236,-23847.02934918808,0
2022-03-30,42026.351000658564,8000.154081337079,0
2022-03-31,38366.95124557824,32640.384802271783,0
2022-04-01,42582.54065408119,-15507.014256056364,0
2022-04-04,42261.65129025687,-14113.056924198158,0
2022-04-05,39042.7773366985,13431.22170030763,0
2022-04-06,45814.916315951195,5226.486026880863,0
2022-04-07,46310.26581361785,-10000.407799883798,0
2022-04-08,43314.05711331255,-2710.258623295404,0
2022-04-11,41419.95505253543,4151.835621759808,0
2022-04-12,47789.52518233796,2187.5274292466,0
2022-04-13,44580.43360326292,-8003.208603905874,0
2022-04-14,44486.73708283749,5634.833413097776,0
2022-04-18,48114.54359119404,-1534.5391713868262,0
2022-04-19,45918.97454607695,-3190.132781178016,0
2022-04-20,44504.59715653936,2467.3244458148747,0
2022-04-21,43637.94520443805,11484.87713000235,0
2022-04-22,51775.05372770318,23454.42594316019,0
2022-04-25,65232.90909898867,18920.57238870211,0
2022-04-26,62504.03432930073,14322.707221172835,0
2022-04-27,72325.27998287945,6961.76690429787,0
2022-04-28,68997.67516627454,-17501.652173438153,0
2022-04-29,70161.07985829143,20206.413711622583,0
2022-05-02,82975.93307346177,8041.5472736624415,0
2022-05-03,46118.782226695934,-501.4351366178844,0
2022-05-04,49950.42412694299,-20288.969373748834,0
2022-05-05,83873.8330725737,10957.526761211928,0
2022-05-06,97010.3859771121,-126.0072481052748,0
2022-05-09,86616.0191877622,25817.995605724573,0
2022-05-10,96180.51106023733,8984.629977343458,0
2022-05-11,89440.22248180132,3252.9649837127,0
2022-05-12,81577.70681355572,17662.238835969845,0
2022-05-13,74787.34013128678,-3886.351473886844,0
2022-05-16,72857.34628165817,38415.55634562718,0
2022-05-17,67064.83975801204,-21882.860637094287,0
2022-05-18,64916.70676765385,39826.99448700303,0
2022-05-19,80353.18044410794,2579.9228372725447,0
2022-05-20,76259.49422601858,753.2037970422716,0
2022-05-23,67762.5135070954,-23453.023580957808,0
2022-05-24,65786.3562110539,3524.6520643551303,0
2022-05-25,62356.50923055641,-2332.9886194698383,0
2022-05-26,57561.58791910711,-17395.74764762339,0
2022-05-27,57534.84331891202,-29901.535762615786,0
2022-05-31,59652.57278758296,10816.16006301848,0
2022-06-01,58299.646009918695,3597.328053631678,0
2022-06-02,55955.03419604269,-32129.424077592637,0
