,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2016-09-30,8228.384272230998,9021.464749975248,9443.870802901198,10352.474967716453,793.08047774425,3586.920164613559,3927.832410195592
2016-10-03,8229.255351928929,9010.39874520927,9444.68416255301,10339.612433226337,781.1433932803411,3586.749831835614,3922.5308222871854
2016-10-04,8209.077424252597,9015.672116597438,9418.797035756012,10342.88395675413,806.594692344841,3569.9018940485735,3916.6233372795873
2016-10-05,8308.424782694436,9063.805964212845,9530.22709120254,10395.640509904826,755.381181518409,3605.5581258828634,3930.26501514372
2016-10-06,8295.591526270544,9052.03103201063,9516.462102644602,10383.088005858264,756.4395057400852,3602.808569474548,3927.970388212413
2016-10-07,8300.100603134797,9042.90791095252,9521.368783326352,10372.37676105145,742.8073078177222,3603.9819046901334,3923.2838096659675
2016-10-10,8306.762941284507,9051.590509699947,9527.707368932743,10381.029887545696,744.8275684154396,3603.0265057641277,3923.1968365761236
2016-10-11,8302.625376332331,9041.471249574588,9524.077210181289,10370.54671286518,738.8458732422569,3604.5238695662747,3922.122918911758
2016-10-12,8336.406763240599,9059.162907453507,9560.172306488841,10388.208377488225,722.7561442129081,3611.3516629559535,3922.0344083346527
2016-10-13,8340.951975192347,9060.55298984079,9564.669257822645,10389.09060882418,719.6010146484423,3611.209245101624,3920.5357317712655
2016-10-14,8342.712051481918,9064.896640365636,9565.456133437385,10392.837393774927,722.1845888837179,3608.3373143671533,3918.7743719295254
2016-10-17,8337.429245910918,9065.589689755188,9557.435479283193,10391.663064625398,728.16044384427,3600.2578794718142,3913.2637080366812
2016-10-18,8316.80387300441,9057.16398843306,9534.777757518123,10382.982073749572,740.3601154286498,3594.2603855314346,3912.5103444864776
2016-10-19,8317.502279857761,9040.436367005026,9537.32808507879,10365.568018984643,722.934087147265,3599.7254331158606,3910.48466874623
2016-10-20,8317.43600046821,9041.44039396695,9537.05033018052,10366.516476098734,724.0043934987407,3599.1013655121483,3910.320681237768
