,VaR,actual_loss,exception,cvm_pvalue
2017-10-18,13195.138682961213,-2140.8217828827715,0,0.352
2017-10-19,12723.633224209503,-1189.102436484427,0,0.352
2017-10-20,12856.3525740295,-7436.725423162931,0,0.352
2017-10-23,12924.962193877509,4792.545573791707,0,0.352
2017-10-24,12690.010631504885,-3225.275190532042,0,0.352
2017-10-25,13162.784194402377,1740.6401459375454,0,0.352
2017-10-26,12737.599033232767,-1392.6472557014304,0,0.352
2017-10-27,13041.752375969174,693.5607373683406,0,0.352
2017-10-30,12767.059327381558,6924.318491372266,0,0.352
2017-10-31,12987.931635648532,-1861.7736731641808,0,0.352
2017-11-01,12986.310863729943,-889.5718367286483,0,0.352
2017-11-02,13114.492439638825,1780.6685056049337,0,0.352
2017-11-03,13356.352967455718,1220.832095737057,0,0.352
2017-11-06,12866.089536369172,-78.69701913121776,0,0.352
2017-11-07,12838.81521610014,725.674344114304,0,0.352
2017-11-08,12674.85532395614,-528.8289186760499,0,0.352
2017-11-09,12511.747075267429,-1252.118311738211,0,0.352
2017-11-10,12917.25524692336,-5185.493157569243,0,0.352
2017-11-13,12903.046606313994,-802.622142646021,0,0.352
2017-11-14,12874.804064517308,1857.7949699089584,0,0.352
2017-11-15,12729.006836634728,1491.574987999331,0,0.352
2017-11-16,12733.887881703648,-3774.793293426556,0,0.352
2017-11-17,13033.63028358859,464.04250711858,0,0.352
2017-11-20,12619.254622674142,3159.575603989388,0,0.352
2017-11-21,12987.136628801038,-729.9332529372177,0,0.352
2017-11-22,12750.532977282428,1399.3532962719466,0,0.352
2017-11-24,12885.29172214429,-2387.090952440421,0,0.352
2017-11-27,12741.514702857252,-438.2084953700408,0,0.352
2017-11-28,12850.687994622396,-6045.584728110578,0,0.352
2017-11-29,13067.07151517962,814.095922656107,0,0.352
2017-11-30,13234.050413422507,-7137.858632142634,0,0.352
2017-12-01,13080.445114867365,3439.7128774837565,0,0.352
2017-12-04,13099.830551352647,2661.333307038163,0,0.352
2017-12-05,12970.557896017557,4914.926834584081,0,0.352
2017-12-06,13318.639662341193,4042.4268431511537,0,0.352
2017-12-07,13256.278548583168,-900.879853481531,0,0.352
2017-12-08,13106.638209893581,-3402.316007322983,0,0.352
2017-12-11,12923.70204611046,-1729.3504869859996,0,0.352
2017-12-12,13053.135132663452,-2381.405512171264,0,0.352
2017-12-13,12871.30519114366,1692.6927231609304,0,0.352
2017-12-14,12836.041557112318,2628.3012783797376,0,0.352
2017-12-15,13194.183407784663,-5042.849100279696,0,0.352
2017-12-18,11379.757941524482,-5612.107451304271,0,0.036
2017-12-19,11523.95184014145,-6051.615918030115,0,0.036
2017-12-20,11297.974448409725,-3326.6618756287608,0,0.036
2017-12-21,11260.811640131735,-559.1375450709797,0,0.036
2017-12-22,11058.653488356975,-996.8729190613208,0,0.036
2017-12-26,11242.104803299475,-1016.7749775953451,0,0.036
2017-12-27,11134.051664691007,3064.4250109073537,0,0.036
2017-12-28,11404.661098800332,-2839.283309856578,0,0.036
2017-12-29,11305.356025847932,393.2990877710479,0,0.036
2018-01-02,11064.38322017838,-8639.431038420169,0,0.036
2018-01-03,11215.007555567172,-252.2725042015309,0,0.036
2018-01-04,11439.473938236946,-3758.955672237377,0,0.036
2018-01-05,11599.567431370064,-4876.262878859321,0,0.036
2018-01-08,11262.9299215665,-2155.92032641456,0,0.036
2018-01-09,11072.521937240655,-3547.0348011047035,0,0.036
2018-01-10,11219.393479819573,1621.5149869551738,0,0.036
2018-01-11,11349.347820650351,-4908.965415295248,0,0.036
