,VaR_MC_T_COPULA,actual_loss,exception
2010-06-02,37546.32834113899,-4564.442796645011,0
2010-06-03,36742.881015591614,7100.1666247398825,0
2010-06-04,36910.35428442487,12799.944916373928,0
2010-06-07,40989.28751826555,-7520.491924015329,0
2010-06-08,40092.87057535071,833.9022893672391,0
2010-06-09,37323.61034195755,422.1081982604237,0
2010-06-10,37531.733345815715,-4726.415941515808,0
2010-06-11,40229.37636274514,71.81801249947239,0
2010-06-14,37228.98545575429,-3134.0425158205594,0
2010-06-15,34360.41542938364,-12552.559792707218,0
2010-06-16,36684.761476273605,2836.544560390382,0
2010-06-17,35640.03913967056,-5234.440115936748,0
2010-06-18,39108.49120519575,-6015.789014111371,0
2010-06-21,41423.00420382061,12184.55333645458,0
2010-06-22,41508.06368035576,3752.14370167876,0
2010-06-23,42059.51774913212,5342.234382852591,0
2010-06-24,36952.35993036532,-82.17056412368856,0
2010-06-25,44335.821711426426,-6586.8299567416925,0
2010-06-28,40135.70707869446,14041.203947839818,0
2010-06-29,38143.745118813,10262.898116459157,0
2010-06-30,39053.46066114574,-1815.5936446983587,0
2010-07-01,38973.261154306754,18326.19664588318,0
2010-07-02,40319.73513933808,-9502.368832535674,0
2010-07-06,36453.565849018436,10444.991833183603,0
2010-07-07,36062.738487464936,-12436.782091601006,0
2010-07-08,39033.97827797816,-2429.112550306383,0
2010-07-09,35160.42945835726,-6845.169083297278,0
2010-07-12,38682.749987906216,4774.14353081615,0
2010-07-13,40156.432063327185,-14323.40138899743,0
2010-07-14,39167.61809156503,5157.171767324676,0
2010-07-15,40872.02863996543,800.9722588044006,0
2010-07-16,40131.29930648037,13420.747687879766,0
2010-07-19,38659.49178130417,2084.47021668453,0
2010-07-20,38330.06569456972,-3875.026284709405,0
2010-07-21,37160.01260836637,12891.366951703523,0
2010-07-22,38490.835286419715,-13590.994113563143,0
2010-07-23,39596.80268705997,-1601.221268770677,0
2010-07-26,39534.53060881737,-1550.8132795364354,0
2010-07-27,37486.478379184875,7145.980081634589,0
2010-07-28,37599.88617664587,3647.4067558245633,0
2010-07-29,41549.74085411578,-12613.049596132683,0
2010-07-30,35334.24548876107,1362.0072972984017,0
2010-08-02,40988.262346143034,-11528.428650122089,0
2010-08-03,46489.59196109523,833.9796798100897,0
2010-08-04,42901.077221705185,-7021.074454898751,0
2010-08-05,47127.13081786551,2484.321944036929,0
2010-08-06,39148.11002271112,1630.529481120684,0
2010-08-09,38216.42186516111,-1571.3842784366025,0
2010-08-10,42133.283066372554,5634.196565389714,0
2010-08-11,42267.78576491642,13165.561362622604,0
2010-08-12,37499.84339334239,969.3203270604808,0
2010-08-13,42349.02463300463,4881.146183479279,0
2010-08-16,44468.436021418864,3262.083951074327,0
2010-08-17,40333.023940398125,-6305.187155822163,0
2010-08-18,41210.98632197028,-3530.158829842813,0
2010-08-19,43597.86851322779,6887.656254315973,0
2010-08-20,41030.58937950137,1738.3460371654855,0
2010-08-23,41302.30640595599,5137.981979722441,0
2010-08-24,39237.07348386088,7181.838427920258,0
2010-08-25,41646.32481286293,-6796.845851912436,0
2010-08-26,40205.73574529882,4271.683748832402,0
2010-08-27,40001.71575987279,-12676.066060483308,0
2010-08-30,40640.77866619473,9266.728808585029,0
2010-08-31,43971.881667712885,1414.2550346656951,0
2010-09-01,40032.183820643666,-9545.71570413784,0
2010-09-02,40698.95951997536,-9485.517811727435,0
2010-09-03,39756.07524517667,-6689.995932386498,0
2010-09-07,40775.3365991738,6367.844949280872,0
2010-09-08,42106.84357360909,-453.1472912923928,0
2010-09-09,43095.26797953898,-3015.982403362372,0
2010-09-10,41292.389627136545,-11792.376364077376,0
2010-09-13,41741.40120613215,2086.47460629103,0
2010-09-14,43724.44809520846,-10821.013471907678,0
2010-09-15,44491.92414980218,-7279.577613335028,0
2010-09-16,43662.58648936036,-4718.374286455686,0
2010-09-17,42038.33691897471,70.73751836609313,0
2010-09-20,42889.8420817754,-3501.051086103802,0
2010-09-21,46065.552235429546,1095.7878692433003,0
2010-09-22,41328.372155865894,709.9885308457397,0
2010-09-23,47778.45814702575,-1691.7120975205676,0
2010-09-24,41223.83598318455,-9212.785029269708,0
2010-09-27,39223.70584527847,2419.630785810412,0
2010-09-28,39685.846209527255,-1244.2281479828134,0
2010-09-29,39402.188730035596,-5359.739905403161,0
2010-09-30,41313.57181431218,-418.46860801174273,0
2010-10-01,44340.66924063922,-6474.040814138859,0
2010-10-04,41400.03882612702,3611.4177919955846,0
2010-10-05,42075.54562872404,-16026.674350247904,0
2010-10-06,43888.245704569155,-1105.0565099771684,0
2010-10-07,47981.33219179829,5245.123199874738,0
2010-10-08,46510.69536381503,-8234.921447467057,0
2010-10-11,44146.96210897857,-4410.610639409155,0
2010-10-12,41402.43547693065,748.621415569628,0
2010-10-13,43532.61007971334,-15687.678023171651,0
2010-10-14,48767.51416683052,-5884.153022395941,0
2010-10-15,49465.78877326208,-2633.1227491194686,0
2010-10-18,47021.16994755507,1876.7124827626303,0
2010-10-19,49065.37547588134,26505.037702680187,0
2010-10-20,50457.61679565337,-6451.416031395225,0
2010-10-21,51874.60104915795,-273.8236304619113,0
2010-10-22,51148.121406030696,-900.8437517229912,0
2010-10-25,51290.60078770852,-6893.5148116259925,0
2010-10-26,41325.04859800559,-5005.526265399796,0
2010-10-27,37759.472894037885,4119.797385792224,0
2010-10-28,42510.19491978438,-3242.926236998268,0
2010-10-29,41184.08220778965,-2944.208335113268,0
2010-11-01,43778.54473644211,-3031.8544394554438,0
2010-11-02,42919.755208269635,-1791.7408689379454,0
2010-11-03,44253.05282172084,-3118.992011467583,0
2010-11-04,40650.075788731105,-19078.524061381715,0
2010-11-05,47203.19030222756,-7819.506998598062,0
2010-11-08,43452.740764777715,-4476.892135303628,0
2010-11-09,44986.416561727725,9517.23768608935,0
2010-11-10,45195.810833867356,-1962.7189867772013,0
2010-11-11,45563.864324261405,-176.2482825411937,0
2010-11-12,41003.15710662412,18734.506073310204,0
2010-11-15,43648.229362818005,-4035.521875203645,0
2010-11-16,46250.30575063218,16690.317352895938,0
2010-11-17,44287.623649548856,2492.151567385101,0
2010-11-18,40647.04704705064,-12431.143160289032,0
2010-11-19,39347.252408063585,-2119.1831819927675,0
2010-11-22,41097.10951628242,-2334.818376197561,0
2010-11-23,41294.92519139937,4549.319489582337,0
2010-11-24,41245.34231005616,-8320.575648482976,0
2010-11-26,43318.00931403463,12432.826212586622,0
2010-11-29,39735.97656572354,1760.4766822082263,0
2010-11-30,40071.632742816146,-2524.5454104948567,0
2010-12-01,40316.937116855326,-12721.470459156782,0
2010-12-02,42361.036371047034,-9463.059580668429,0
2010-12-03,43452.59630361637,-18287.245480897454,0
2010-12-06,46162.211336098575,-6437.105373331995,0
2010-12-07,47713.84050567802,3796.3550386355,0
2010-12-08,40373.13461575038,1901.093766451244,0
2010-12-09,41608.02364378256,-1849.2686159890309,0
2010-12-10,42143.70268572542,-6396.582902867947,0
2010-12-13,39456.192640968045,-701.6235035620398,0
2010-12-14,42815.391807243126,-17700.277511292366,0
2010-12-15,43601.4884654136,7308.60321070956,0
2010-12-16,41181.55985125658,8450.878685045385,0
2010-12-17,40199.15246517861,6727.041218226604,0
2010-12-20,45378.47654173311,-5944.139452899547,0
2010-12-21,44952.64099992502,-2044.0342213428655,0
2010-12-22,41590.23589562385,1281.925856080397,0
2010-12-23,41633.95532354274,-1212.2484516476784,0
2010-12-27,42913.006111786366,1747.0318261600155,0
2010-12-28,46166.021141426485,-20831.097721833223,0
2010-12-29,43478.83513562506,8290.135364523729,0
2010-12-30,45487.432699132856,-717.7017049454157,0
