,VaR_MC_COPULA,actual_loss,exception
2009-06-10,38755.99182691551,-5154.9473519412095,0
2009-06-11,40625.405600455786,2893.253219546128,0
2009-06-12,39967.28361119923,12782.038931100817,0
2009-06-15,42557.153199127235,17855.315709216105,0
2009-06-16,42857.95590692611,3594.128718872643,0
2009-06-17,37557.35081503076,-3411.14997525681,0
2009-06-18,37055.96613676759,-7509.028867701763,0
2009-06-19,39001.01173534402,1867.649624322823,0
2009-06-22,36963.12954803117,18165.802111016957,0
2009-06-23,38844.72206741852,-1174.6985739351048,0
2009-06-24,36145.524182373476,-5143.479173348431,0
2009-06-25,35929.414919220886,616.4927263571017,0
2009-06-26,38650.43994863732,1787.849786299781,0
2009-06-29,37467.1575704797,-1566.078816250512,0
2009-06-30,36340.043513075565,6880.532998529727,0
2009-07-01,40610.71801085369,-10088.800229031134,0
2009-07-02,39119.18710765817,10086.010066303465,0
2009-07-06,34784.642034637494,754.2807197590284,0
2009-07-07,37264.359521334874,7528.290289933516,0
2009-07-08,36092.498450522486,15545.475122943028,0
2009-07-09,33892.92191119789,-11022.588454524292,0
2009-07-10,34642.36757865395,10355.889801971818,0
2009-07-13,39019.47315061404,-11267.216935438812,0
2009-07-14,36662.788810630445,-10805.050296193363,0
2009-07-15,40348.63446190296,-22736.574889954794,0
2009-07-16,39305.89926698799,2473.443766076239,0
2009-07-17,40612.19407809111,-5792.059795384413,0
2009-07-20,42859.282862036525,-7792.5302118582385,0
2009-07-21,41697.44101075115,5237.25876272015,0
2009-07-22,44637.454610022505,-5960.543679747687,0
2009-07-23,41675.30710428325,-13288.162675651409,0
2009-07-24,43861.328085423374,-2044.5136830216188,0
2009-07-27,44981.355215899646,-5670.037378388178,0
2009-07-28,43942.61929759958,13000.977126968968,0
2009-07-29,42207.77497876239,10062.28088951561,0
2009-07-30,40338.75836134238,-6525.093525618424,0
2009-07-31,44143.071258934775,-3308.115415782484,0
2009-08-03,37569.07454371059,-19250.63622085049,0
2009-08-04,42068.114913589874,-7151.052957416943,0
2009-08-05,38948.162536521435,-5382.192037414488,0
2009-08-06,36944.53199268692,4333.7662304701125,0
2009-08-07,37680.84893926136,-2707.8633055061728,0
2009-08-10,39817.33490165571,10961.460760098931,0
2009-08-11,36290.782420902804,9795.892260844092,0
2009-08-12,37069.01356319013,-5911.440861858928,0
2009-08-13,38562.77196034869,355.0176693100184,0
2009-08-14,36506.133802992656,16205.26767113811,0
