,VaR_MC_COPULA
2022-02-16,17253.31040076253
2022-02-17,15894.995326319
2022-02-18,15699.859402204793
2022-02-22,15671.20750047457
2022-02-23,16413.148747833584
2022-02-24,15942.65402861407
2022-02-25,16590.621534121376
2022-02-28,16429.893621636416
2022-03-01,16121.785878676932
2022-03-02,15970.299905162403
2022-03-03,15655.733862786745
2022-03-04,15378.473772178466
2022-03-07,17776.187616319756
2022-03-08,16897.931534596693
2022-03-09,16416.410936845732
2022-03-10,15933.640716033658
2022-03-11,17263.186589160683
2022-03-14,19271.324970303045
2022-03-15,17360.88177131006
2022-03-16,15933.278286813185
2022-03-17,14491.949494528442
2022-03-18,10994.701096695204
2022-03-21,17551.08920051068
2022-03-22,18796.669785349422
2022-03-23,17890.383776368624
2022-03-24,17879.15343807913
2022-03-25,21323.052034738383
2022-03-28,21829.311634873655
2022-03-29,24420.91938303498
2022-03-30,22523.960083295526
2022-03-31,18758.64524742128
2022-04-01,19930.890053971634
2022-04-04,22736.315133659355
2022-04-05,18962.860385916683
2022-04-06,17638.16921912869
2022-04-07,16577.41493847133
2022-04-08,17467.986515611767
2022-04-11,16335.306011840505
2022-04-12,15773.114159389712
2022-04-13,16045.55462590181
2022-04-14,14528.093984632465
2022-04-18,14528.408757573985
2022-04-19,16382.607879450701
2022-04-20,15678.64408580817
2022-04-21,15247.952195424723
2022-04-22,14661.630936643303
2022-04-25,14697.536431197614
2022-04-26,17699.144070751066
2022-04-27,17735.465241377286
2022-04-28,16351.233883751514
2022-04-29,21592.06189274109
2022-05-02,21343.109458623716
2022-05-03,17898.508297286222
2022-05-04,20325.069274569298
2022-05-05,18707.23113667937
2022-05-06,16911.646419013294
2022-05-09,17581.1503748708
2022-05-10,17493.51793877116
2022-05-11,16704.1043544135
2022-05-12,15592.034043578517
2022-05-13,16263.644712784986
2022-05-16,15217.538833432534
2022-05-17,16720.228910672566
2022-05-18,17042.9137128959
2022-05-19,16638.960182021725
2022-05-20,15643.596802505304
2022-05-23,15066.444189320036
2022-05-24,16895.75148622301
2022-05-25,16000.405605119417
2022-05-26,15037.855535327557
2022-05-27,17147.366486341667
2022-05-31,16712.230793117134
2022-06-01,14815.484488537471
2022-06-02,17149.746612610976
2022-06-03,14293.189222850675
2022-06-06,13701.541124385023
2022-06-07,16557.90610877784
2022-06-08,14956.596410279988
2022-06-09,14315.220539753356
2022-06-10,18532.870478789773
2022-06-13,21881.756627335555
2022-06-14,20908.273723852806
2022-06-15,16504.97928281146
2022-06-16,17619.978010792238
2022-06-17,16015.537982070582
2022-06-21,18267.011479224842
2022-06-22,17205.09630497278
2022-06-23,17645.92969878234
2022-06-24,21889.27533061608
2022-06-27,20968.98961124807
2022-06-28,17626.70560054875
2022-06-29,17572.207375143986
2022-06-30,17436.518447075792
2022-07-01,17696.157284021658
2022-07-05,18291.246340649283
2022-07-06,18408.01793613671
2022-07-07,21281.504960419163
2022-07-08,21039.768889093302
2022-07-11,18199.956000182803
2022-07-12,18103.772579230303
2022-07-13,16033.615046832903
2022-07-14,17514.29890082521
2022-07-15,20064.24208004815
2022-07-18,18492.897120926762
2022-07-19,26697.14561972836
2022-07-20,30402.557967505178
2022-07-21,34990.18681651441
2022-07-22,33704.45193739982
2022-07-25,34134.41562199737
2022-07-26,28596.281589785325
2022-07-27,47132.530249812866
2022-07-28,49235.577095467386
2022-07-29,15697.421676355274
2022-08-01,15817.12042692109
2022-08-02,16953.501944739113
2022-08-03,18163.81214817666
2022-08-04,16096.234263399363
2022-08-05,16250.239153914592
2022-08-08,16604.374277822604
2022-08-09,15804.154371008775
2022-08-10,20140.64763559222
2022-08-11,18506.343069452465
2022-08-12,25075.40859048833
2022-08-15,25659.961974011436
2022-08-16,28346.669855360757
2022-08-17,25305.86774904099
2022-08-18,24763.409355295204
2022-08-19,22045.82498174247
2022-08-22,15657.074863126432
2022-08-23,16100.25730554747
2022-08-24,17359.533272947094
2022-08-25,19823.206991760613
2022-08-26,14407.458632261025
