,VaR_MC_GARCH_COPULA
2013-12-09,10898.414284395709
2013-12-10,9783.96547010269
2013-12-11,9209.25030046482
2013-12-12,8524.52420368351
2013-12-13,8969.732789327414
2013-12-16,9018.46154839189
2013-12-17,8889.479627995368
2013-12-18,10260.705341318459
2013-12-19,10844.54629978022
2013-12-20,11260.957120751098
2013-12-23,12231.397612054458
2013-12-24,13205.842163393881
2013-12-26,14586.990129731568
2013-12-27,14393.776196272222
2013-12-30,12335.54979828923
2013-12-31,12650.750442482904
2014-01-02,12408.921116622489
2014-01-03,12893.710739495707
2014-01-06,11895.732010992659
2014-01-07,12046.254466123226
2014-01-08,11654.433160736287
2014-01-09,11884.478297362753
2014-01-10,12292.471392061103
2014-01-13,10634.036902769994
2014-01-14,10750.771057897278
2014-01-15,10756.209424499502
2014-01-16,10851.534440655185
2014-01-17,10622.448951056378
2014-01-21,10529.870114625164
2014-01-22,10675.288717601667
2014-01-23,9678.367711110724
2014-01-24,8646.493515377715
2014-01-27,8013.711358950717
2014-01-28,7918.744090803699
2014-01-29,7728.090256107958
2014-01-30,7714.766334878811
2014-01-31,7680.591675564237
2014-02-03,7738.084262760465
2014-02-04,7447.5921965781645
2014-02-05,7447.050630868241
2014-02-06,7871.547100650657
2014-02-07,8008.2478138266015
2014-02-10,7614.554057946151
2014-02-11,7585.986864519705
2014-02-12,11141.68897027262
2014-02-13,11505.50988508121
2014-02-14,11264.66594979579
2014-02-18,11943.529861729514
2014-02-19,11419.168743895338
2014-02-20,11507.852383044543
2014-02-21,11505.892949243147
2014-02-24,12049.826949671717
2014-02-25,12560.137185917967
2014-02-26,12734.29298065917
2014-02-27,12956.24169988575
2014-02-28,13186.223535882678
2014-03-03,12542.371810873
2014-03-04,12319.035751618232
2014-03-05,12915.914793686936
2014-03-06,12736.270872542278
2014-03-07,13496.745101099828
2014-03-10,13142.354765873843
2014-03-11,12768.834621834078
2014-03-12,12855.989283388564
2014-03-13,11377.339796147482
2014-03-14,11200.116385726647
2014-03-17,12294.521338720311
2014-03-18,13395.887026954928
2014-03-19,12909.212322612682
2014-03-20,12878.108302132292
2014-03-21,11941.465872370205
2014-03-24,12280.10608040579
2014-03-25,13787.5281119045
2014-03-26,12984.750676640382
2014-03-27,10062.429407260895
2014-03-28,10368.276799440611
2014-03-31,11253.876931317023
2014-04-01,11454.793529690105
2014-04-02,11899.771437413248
2014-04-03,12116.743620356267
2014-04-04,11472.970156608395
2014-04-07,10675.717103811216
2014-04-08,10781.306939758988
2014-04-09,11842.60960160482
2014-04-10,10813.972892947499
2014-04-11,9932.37340369827
2014-04-14,10236.499934860545
2014-04-15,10471.367254662226
2014-04-16,12098.484573827058
2014-04-17,12038.788013683907
2014-04-21,12124.845757229945
2014-04-22,12255.417703463134
2014-04-23,11769.840767960693
2014-04-24,11950.191516453402
2014-04-25,11679.261214545957
2014-04-28,11292.051654233946
2014-04-29,11692.364215802714
2014-04-30,12220.099454137902
2014-05-01,12703.044660973505
2014-05-02,12373.938762403548
2014-05-05,12134.396338686689
2014-05-06,12323.105815646146
2014-05-07,13687.865276710281
2014-05-08,13004.471504901236
2014-05-09,10481.812791708659
2014-05-12,10613.123793567514
2014-05-13,11524.464053016285
2014-05-14,10968.461839258074
2014-05-15,10596.33762382829
2014-05-16,10829.306774762084
2014-05-19,11012.600758454448
2014-05-20,10624.452628885649
2014-05-21,11104.252530074575
2014-05-22,11226.69029124724
2014-05-23,11685.551828474088
2014-05-27,11759.781580106264
2014-05-28,11861.023149780582
2014-05-29,12966.036985320246
2014-05-30,12656.584444881428
2014-06-02,12365.502865995382
2014-06-03,12159.22499202609
2014-06-04,12560.361833532657
2014-06-05,13140.27467761538
2014-06-06,13331.287289420627
2014-06-09,13904.453974948068
2014-06-10,13566.026355051075
2014-06-11,13466.627992718819
2014-06-12,13356.11456623814
2014-06-13,13556.252357944617
2014-06-16,13727.751403108081
2014-06-17,13701.818239196795
2014-06-18,14505.209136212676
2014-06-19,14349.585587190919
2014-06-20,15625.00767903536
2014-06-23,11610.96468158253
2014-06-24,11194.823747902643
2014-06-25,11497.352237279441
2014-06-26,11304.958378824525
2014-06-27,11147.031416441052
2014-06-30,11084.852203051323
2014-07-01,11494.74066322304
2014-07-02,11834.956020861639
2014-07-03,12195.208491734831
2014-07-07,11248.442413343404
2014-07-08,11479.499938664172
2014-07-09,11879.809173796399
2014-07-10,11263.6566760408
2014-07-11,11536.773568246133
2014-07-14,11349.225669128758
2014-07-15,10933.837448279244
2014-07-16,11529.701658392121
2014-07-17,10571.080010030773
2014-07-18,10970.935317527415
2014-07-21,10380.906350370891
2014-07-22,10865.949443703807
2014-07-23,11147.038492906531
2014-07-24,11092.742612960279
2014-07-25,10327.577073980925
2014-07-28,10281.333835126643
2014-07-29,9645.825672064055
2014-07-30,9802.389229443765
2014-07-31,8152.345005621803
2014-08-01,7737.473727465505
2014-08-04,7453.259808559145
2014-08-05,8923.280078426671
2014-08-06,9049.237388503987
2014-08-07,8605.059541115284
2014-08-08,9451.05806881426
2014-08-11,9829.378185212669
2014-08-12,9189.03147018615
