forecast_date,exposure_date,portfolio_value_linear,mu_deltaV,sigma_deltaV,VaR_DN_full,VaR_DN_nodrift
2012-06-08,2012-06-07,1690520.1828110635,686.6594224226234,9537.665041100907,21501.26736925612,22187.926791678743
2012-06-11,2012-06-08,1694192.5525446893,681.4312323862414,9553.48791365632,21543.305065223,22224.736297609245
2012-06-12,2012-06-11,1696011.621060828,698.3994941416859,9571.539052905737,21568.330032884456,22266.729527026142
2012-06-13,2012-06-12,1698916.4818219647,684.9807175222136,9619.11347982768,21692.423476432505,22377.404193954717
2012-06-14,2012-06-13,1702813.2509127283,690.3931981502369,9649.861916672142,21758.542556487675,22448.93575463791
2012-06-15,2012-06-14,1709263.073196297,694.8386157854912,9694.80236597158,21858.644257538606,22553.482873324097
2012-06-18,2012-06-15,1715751.3213415346,741.9053072629109,9687.234498243293,21793.972073060464,22535.877380323374
2012-06-19,2012-06-18,1718248.0900284122,757.648934765653,9693.184056270316,21792.06918722537,22549.718121991024
2012-06-20,2012-06-19,1713933.4389191282,730.5549560373528,9654.642145933145,21729.501274779323,22460.056230816674
2012-06-21,2012-06-20,1708734.7184088738,734.3215052727796,9589.063884344434,21573.176876113703,22307.498381386482
2012-06-22,2012-06-21,1684158.9512949542,644.5862907599951,9417.19858244628,21263.09361093433,21907.679901694326
2012-06-25,2012-06-22,1684927.9099413203,654.7949368928232,9448.6400434419,21326.028740745394,21980.82367763822
2012-06-26,2012-06-25,1687302.2538018744,658.8965882811752,9491.529652621059,21421.703240489423,22080.5998287706
2012-06-27,2012-06-26,1681836.954387709,673.6943551815644,9416.761798642447,21232.969435439296,21906.66379062086
2012-06-28,2012-06-27,1685715.0886171837,680.3270778968787,9436.715068157277,21272.754958839967,21953.082036736847
2012-06-29,2012-06-28,1677507.8521895031,650.6172865512793,9350.779646904906,21102.549065650313,21753.16635220159
2012-07-02,2012-06-29,1701893.3051607104,695.4238291796822,9636.121278885763,21721.546421955918,22416.9702511356
2012-07-03,2012-07-02,1708683.7050713387,692.1455127005603,9640.170174117124,21734.243877248733,22426.389389949294
2012-07-04,2012-07-03,1719323.155763016,712.3473496472348,9773.955483730357,22025.273210898697,22737.620560545933
2012-07-05,2012-07-04,1719817.4104118482,703.2560269081197,9772.901116116564,22031.911707781008,22735.167734689127
2012-07-06,2012-07-05,1709280.7558079183,673.2944327869038,9687.199333897597,21862.50114303562,22535.795575822525
2012-07-09,2012-07-06,1695921.1239049728,626.4669215319147,9588.480284079684,21679.673802619374,22306.14072415129
2012-07-10,2012-07-09,1695726.025939136,625.7634251684145,9600.427397641972,21708.170441219427,22333.93386638784
2012-07-11,2012-07-10,1685333.4375603641,596.2711108724797,9508.829365119653,21524.573867290743,22120.844978163223
2012-07-12,2012-07-11,1687668.8117617236,621.7716582356916,9539.608965857959,21570.677378668915,22192.449036904607
2012-07-13,2012-07-12,1685073.5563336285,616.9373422440067,9515.23347371332,21518.80582033122,22135.74316257523
2012-07-16,2012-07-13,1695945.3170296582,644.1949704752174,9620.740153599605,21736.993432550575,22381.188403025793
