,VaR_MC_T_COPULA
2013-03-21,34774.34061392048
2013-03-22,37707.224389029274
2013-03-25,34840.47347004618
2013-03-26,34103.10919852821
2013-03-27,35920.74049365441
2013-03-28,36096.79626723615
2013-04-01,37414.69020936411
2013-04-02,35141.51251241661
2013-04-03,35332.39793742487
2013-04-04,35365.74852535801
2013-04-05,35726.40621216067
2013-04-08,35830.47748050738
2013-04-09,36750.88307038282
2013-04-10,35260.25951787321
2013-04-11,37656.043919749594
2013-04-12,38745.6468162858
2013-04-15,38183.44722752738
2013-04-16,32883.25271291786
2013-04-17,31885.037142275745
2013-04-18,33658.93451910914
2013-04-19,31756.84404302384
2013-04-22,33435.40096591707
2013-04-23,34020.499377184904
2013-04-24,35929.97209052764
2013-04-25,35014.80489113461
2013-04-26,37112.515622466904
2013-04-29,36207.41250530115
2013-04-30,34566.01741597093
2013-05-01,42109.23286613882
2013-05-02,35123.87946592184
2013-05-03,36296.01709297219
2013-05-06,35259.812588827706
2013-05-07,35304.97027426307
2013-05-08,35591.18725380458
2013-05-09,38922.9867003109
2013-05-10,37133.45978295595
2013-05-13,37342.47465639318
2013-05-14,40114.14885329608
2013-05-15,40589.97231603362
2013-05-16,40425.05395741035
2013-05-17,38550.89171210729
2013-05-20,42078.15391540166
2013-05-21,41121.39876600715
2013-05-22,41968.149814957775
2013-05-23,38376.145561891535
2013-05-24,36706.29668628551
2013-05-28,39564.395210080314
2013-05-29,39794.77915160769
2013-05-30,36301.658409278374
2013-05-31,38806.48139149391
2013-06-03,33372.28242068735
2013-06-04,35077.2231302468
2013-06-05,35323.21137964882
2013-06-06,33940.668755190425
2013-06-07,34679.05733882397
2013-06-10,38493.84143493626
2013-06-11,37722.301855111655
2013-06-12,33343.03262145543
2013-06-13,31301.968327412473
2013-06-14,32952.77650491259
2013-06-17,29829.128809422837
2013-06-18,33234.18550717962
2013-06-19,34869.738984295516
2013-06-20,33277.55032357089
2013-06-21,29201.118025971926
2013-06-24,31162.301755104818
2013-06-25,30295.7092833798
2013-06-26,30706.120012758118
2013-06-27,28867.45758664378
2013-06-28,30213.17586990433
2013-07-01,28756.992383340177
2013-07-02,28081.96117172474
2013-07-03,30659.24867530092
2013-07-05,30498.608430850098
2013-07-08,31630.925277327595
2013-07-09,32033.537523982955
2013-07-10,34031.51525484033
