,VaR_MC_GARCH_COPULA_V3
2013-10-28,42274.792632168836
2013-10-29,40721.31600073658
2013-10-30,38896.88984049805
2013-10-31,38424.84531199042
2013-11-01,39803.18703615068
2013-11-04,38841.48104145083
2013-11-05,38559.403304923224
2013-11-06,39103.67524756316
2013-11-07,37843.540833720406
2013-11-08,36382.80930348027
2013-11-11,36957.20183270941
2013-11-12,35877.20759871033
2013-11-13,35690.37467281425
2013-11-14,32578.075379472917
2013-11-15,32920.64159501395
2013-11-18,31581.24282854207
2013-11-19,32162.936109073762
2013-11-20,30359.598393549284
2013-11-21,31224.286044449305
2013-11-22,31021.343306725885
2013-11-25,30800.34106668104
2013-11-26,32260.76230746595
2013-11-27,30297.900108206988
2013-11-29,31123.231060888927
2013-12-02,30339.478327815013
2013-12-03,31150.54671492398
2013-12-04,32115.487551088125
2013-12-05,30725.606708765827
2013-12-06,32093.311945190864
2013-12-09,31769.937144263877
2013-12-10,31586.005400114293
2013-12-11,31231.936050429584
2013-12-12,32299.43322689688
2013-12-13,32218.82558635766
2013-12-16,33042.22137437709
2013-12-17,32014.668416030585
2013-12-18,32795.191279141945
2013-12-19,30722.417251219624
2013-12-20,33823.41648480747
2013-12-23,35168.615447548495
2013-12-24,35325.11455530021
2013-12-26,34111.10087262521
2013-12-27,33107.60286080039
2013-12-30,18901.5915071226
2013-12-31,24490.116046244526
2014-01-02,27713.525452550777
2014-01-03,23690.07829524898
2014-01-06,21666.99052763759
2014-01-07,21881.167906625797
2014-01-08,21761.74353122022
2014-01-09,23292.483357231114
2014-01-10,22622.58886556875
2014-01-13,27886.16254475757
2014-01-14,27536.858046497124
2014-01-15,25705.683269407004
2014-01-16,25526.76265620679
2014-01-17,25376.04018511383
2014-01-21,25485.159457143654
2014-01-22,24355.518424084763
2014-01-23,24837.844308457446
2014-01-24,25129.25073810951
2014-01-27,24554.042942849093
2014-01-28,26207.952720723475
2014-01-29,26746.855279651874
2014-01-30,26235.531778267956
