,VaR_full,VaR_no_drift,mu_deltaV,sigma_deltaV
2018-11-21,8620.171327927368,8789.52732378259,169.35599585522135,3778.2514910443197
2018-11-22,8623.638203611632,8803.485393620338,179.8471900087069,3784.2514835619922
2018-11-23,8621.753308574638,8803.161008650795,181.40770007615666,3784.1120439823994
2018-11-26,8638.109603370278,8809.54540816113,171.43580479085105,3786.856431260663
2018-11-27,8651.5705019883,8835.91747448442,184.34697249611978,3798.1926835114855
2018-11-28,8658.091625791694,8838.093788650282,180.00216285858681,3799.1281902730266
2018-11-29,8676.950947861555,8876.8629723657,199.91202450414514,3815.793446638179
2018-11-30,8678.546293271904,8876.19924165531,197.65294838340628,3815.508136466903
2018-12-03,8680.36004658829,8873.797934323053,193.4378877347632,3814.4759145197677
2018-12-04,8699.4928747675,8910.496130176902,211.00325540940136,3830.250939512098
2018-12-05,8865.282643635417,9040.954551613055,175.6719079776376,3886.3295780046064
2018-12-06,8859.886419441691,9024.314211232204,164.42779179051317,3879.176589164659
2018-12-07,8850.21868573918,8994.914985172809,144.69629943362892,3866.5390871008217
2018-12-10,8882.06967616976,9016.194584760384,134.12490859062376,3875.68630013161
2018-12-11,8890.11527571066,9019.376608925237,129.26133321457723,3877.0541197085363
2018-12-12,8892.933252797928,9019.373309113878,126.44005631595148,3877.052701257154
2018-12-13,8897.091872513136,9026.578818597698,129.4869460845623,3880.1500494930833
2018-12-14,8898.590220945298,9026.792891417754,128.2026704724557,3880.2420704768947
2018-12-17,8955.126072618667,9062.189118823459,107.0630462047922,3895.457433493184
2018-12-18,8982.279711410447,9078.67165407505,96.39194266460252,3902.542588484626
2018-12-19,8982.064928350765,9082.330383207078,100.26545485631293,3904.115323660158
2018-12-20,9017.565359411243,9106.704282082093,89.13892267085116,3914.592646999027
2018-12-21,9010.028563503582,9102.074310923539,92.04574741995667,3912.6024153530125
2018-12-24,9088.756509198258,9153.295612192867,64.53910299461009,3934.6203181099017
2018-12-25,9152.963137466091,9194.678166164842,41.715028698751304,3952.408953435578
2018-12-26,9153.899854588064,9193.50868310619,39.60882851812715,3951.906241407123
2018-12-27,9251.277100194573,9313.987136638429,62.71003644385489,4003.694907615057
2018-12-28,9246.708963120233,9320.500826755739,73.79186363550531,4006.494871537046
2018-12-31,9240.16488542622,9326.0919784109,85.92709298467871,4008.8982746211464
2019-01-01,9233.844159816705,9329.065505943496,95.22134612679079,4010.176470185008
2019-01-02,9234.437137877901,9327.061542481482,92.62440460358131,4009.315049808298
