,VaR_EVT,VaR_EVT_raw,VaR_EVT_mle_raw,xi,xi_raw,xi_clamped,sigma_gpd,N_u,f_u_hat,threshold_u,ks_pvalue,fallback_type,ES_EVT,ES_EVT_raw,ES_EVT_mle_raw,ES_fallback_type
2009-09-30,31947.97594311924,31947.97594311924,31947.97594311924,0.10154093609083638,0.10154093609083638,False,6983.614171930458,50,0.9,13832.27468581701,0.9959351575925149,none,41768.23352630825,41768.23352630825,41768.23352630825,none
2009-10-01,31947.97594311924,31947.97594311924,31947.97594311924,0.10154093609083638,0.10154093609083638,False,6983.614171930458,50,0.9,13832.27468581701,0.9959351575925149,none,41768.23352630825,41768.23352630825,41768.23352630825,none
2009-10-02,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-05,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-06,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-07,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-08,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-09,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-12,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-13,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-14,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-15,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-16,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-19,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-20,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-21,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-22,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-23,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-26,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-27,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-28,31834.527439365884,31834.527439365884,31834.527439365884,0.12163026832128099,0.12163026832128099,False,6685.019976789665,50,0.9,14070.069909891625,0.9954117586409675,none,41905.13369281214,41905.13369281214,41905.13369281214,none
2009-10-29,31834.441977221264,31834.441977221264,31834.441977221264,0.12164705368296316,0.12164705368296316,False,6684.819259144,50,0.9,14070.158532519628,0.9954175665758547,none,41905.32753418523,41905.32753418523,41905.32753418523,none
2009-10-30,31834.441977221264,31834.441977221264,31834.441977221264,0.12164705368296316,0.12164705368296316,False,6684.819259144,50,0.9,14070.158532519628,0.9954175665758547,none,41905.32753418523,41905.32753418523,41905.32753418523,none
